#A star      class  teff ulflag   logeps   [X/Fe] e_sta e_tot   e_I  e_II [Fe/H]
CS22877-011   RG  4950.  0.00     4.38    -3.12  0.07  0.16  0.00  0.00  -3.12
CS22172-029   RG  4960.  0.00     4.80    -2.70  0.06  0.15  0.00  0.00  -2.70
CS22880-086   RG  4960.  0.00     4.25    -3.25  0.08  0.16  0.00  0.00  -3.25
CS22942-002   RG  5010.  0.00     3.97    -3.53  0.10  0.17  0.00  0.00  -3.53
HD11582        RG  5020.  0.00     5.47    -2.03  0.07  0.15  0.00  0.00  -2.03
HD108317       RG  5030.  0.00     4.90    -2.60  0.07  0.15  0.00  0.00  -2.60
CS30312-100   RG  5040.  0.00     4.82    -2.68  0.07  0.15  0.00  0.00  -2.68
HD128279       RG  5050.  0.00     4.86    -2.64  0.07  0.15  0.00  0.00  -2.64
CS22960-064   RG  5060.  0.00     4.73    -2.77  0.07  0.15  0.00  0.00  -2.77
CS22963-004   RG  5060.  0.00     3.65    -3.85  0.08  0.16  0.00  0.00  -3.85
HD220127       RG  5060.  0.00     5.65    -1.85  0.07  0.15  0.00  0.00  -1.85
CS22941-017   RG  5070.  0.00     4.42    -3.08  0.08  0.16  0.00  0.00  -3.08
CS22896-015   RG  5080.  0.00     4.66    -2.84  0.07  0.16  0.00  0.00  -2.84
HD200654       RG  5080.  0.00     4.44    -3.06  0.08  0.16  0.00  0.00  -3.06
CS22944-032   RG  5090.  0.00     4.35    -3.15  0.08  0.16  0.00  0.00  -3.15
CS22945-024   RG  5120.  0.00     4.91    -2.59  0.06  0.15  0.00  0.00  -2.59
CS22951-059   RG  5120.  0.00     4.67    -2.83  0.07  0.15  0.00  0.00  -2.83
HE0454-4758  RG  5140.  0.00     4.18    -3.32  0.08  0.16  0.00  0.00  -3.32
CS22893-010   RG  5150.  0.00     4.57    -2.93  0.07  0.16  0.00  0.00  -2.93
CS22898-047   RG  5150.  0.00     4.05    -3.45  0.09  0.17  0.00  0.00  -3.45
HD178443       HB  5170.  0.00     5.48    -2.02  0.06  0.15  0.00  0.00  -2.02
CS29495-042   RG  5180.  0.00     5.32    -2.18  0.06  0.15  0.00  0.00  -2.18
CS22940-121   HB  5200.  0.00     4.37    -3.13  0.07  0.15  0.00  0.00  -3.13
